"","county","hrr","cntyname","hrrname","pop10","afact","county.y","state","cases","deaths","countypop","hrrpop","countycaserate","countydeathrate","countycaserate100k","countydeathrate100k"
"166","04015","423","Mohave AZ","UT- SALT LAKE CITY",10850,0.054,"Mohave","AZ",7,0,200186,2034274,3.49674802433737e-05,0,3.49674802433737,0
"167","04015","012","Mohave AZ","AZ- PHOENIX",125617,0.628,"Mohave","AZ",7,0,200186,3373124,3.49674802433737e-05,0,3.49674802433737,0
"168","04015","279","Mohave AZ","NV- LAS VEGAS",63719,0.318,"Mohave","AZ",7,0,200186,2064056,3.49674802433737e-05,0,3.49674802433737,0
"169","04017","012","Navajo AZ","AZ- PHOENIX",100198,0.933,"Navajo","AZ",102,0,107449,3373124,0.000949287568986217,0,94.9287568986217,0
"170","04017","293","Navajo AZ","NM- ALBUQUERQUE",7251,0.067,"Navajo","AZ",102,0,107449,1729568,0.000949287568986217,0,94.9287568986217,0
"171","04019","015","Pima AZ","AZ- TUCSON",976798,0.996,"Pima","AZ",217,10,980263,1221007,0.000221369163173556,1.02013439250487e-05,22.1369163173556,1.02013439250487
"172","04019","012","Pima AZ","AZ- PHOENIX",3465,0.004,"Pima","AZ",217,10,980263,3373124,0.000221369163173556,1.02013439250487e-05,22.1369163173556,1.02013439250487
"173","04021","015","Pinal AZ","AZ- TUCSON",23075,0.061,"Pinal","AZ",65,0,375770,1221007,0.000172978151528861,0,17.2978151528861,0
"174","04021","012","Pinal AZ","AZ- PHOENIX",168333,0.448,"Pinal","AZ",65,0,375770,3373124,0.000172978151528861,0,17.2978151528861,0
"175","04021","011","Pinal AZ","AZ- MESA",184362,0.491,"Pinal","AZ",65,0,375770,1384107,0.000172978151528861,0,17.2978151528861,0
"176","04023","015","Santa Cruz AZ","AZ- TUCSON",47420,1,"Santa Cruz","AZ",3,0,47420,1221007,6.32644453816955e-05,0,6.32644453816955,0
"177","04025","014","Yavapai AZ","AZ- SUN CITY",5299,0.025,"Yavapai","AZ",24,0,211033,298424,0.00011372628925334,0,11.372628925334,0
"178","04025","012","Yavapai AZ","AZ- PHOENIX",205734,0.975,"Yavapai","AZ",24,0,211033,3373124,0.00011372628925334,0,11.372628925334,0
