"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date"
"140","207","KY- OWENSBORO",145260,0,0,0,0,2020-01-21
"141","238","MI- KALAMAZOO",669114,0,0,0,0,2020-01-21
"142","192","IA- DES MOINES",1091747,0,0,0,0,2020-01-21
"143","278","NE- OMAHA",1302233,0,0,0,0,2020-01-21
"144","448","WI- LA CROSSE",356614,0,0,0,0,2020-01-21
"145","190","IA- CEDAR RAPIDS",301530,0,0,0,0,2020-01-21
"146","197","IA- WATERLOO",213653,0,0,0,0,2020-01-21
"147","196","IA- SIOUX CITY",263271,0,0,0,0,2020-01-21
"148","371","SD- SIOUX FALLS",773673,0,0,0,0,2020-01-21
"149","195","IA- MASON CITY",132160,0,0,0,0,2020-01-21
"150","253","MN- ROCHESTER",416752,0,0,0,0,2020-01-21
"151","251","MN- MINNEAPOLIS",3233450,0,0,0,0,2020-01-21
"152","200","KS- TOPEKA",457565,0,0,0,0,2020-01-21
"153","340","OK- TULSA",1369583,0,0,0,0,2020-01-21
"154","277","NE- LINCOLN",580765,0,0,0,0,2020-01-21
"155","383","TX- AMARILLO",444214,0,0,0,0,2020-01-21
"156","380","TN- NASHVILLE",2782462,0,0,0,0,2020-01-21
"157","204","KY- LEXINGTON",1514499,0,0,0,0,2020-01-21
"158","377","TN- KNOXVILLE",1379484,0,0,0,0,2020-01-21
"159","203","KY- COVINGTON",416762,0,0,0,0,2020-01-21
"160","444","WV- HUNTINGTON",356456,0,0,0,0,2020-01-21
"161","329","OH- COLUMBUS",3018306,0,0,0,0,2020-01-21
"162","376","TN- KINGSPORT",479601,0,0,0,0,2020-01-21
"163","443","WV- CHARLESTON",839828,0,0,0,0,2020-01-21
"164","213","LA- LAFAYETTE",614128,0,0,0,0,2020-01-21
"165","209","LA- ALEXANDRIA",287731,0,0,0,0,2020-01-21
"166","214","LA- LAKE CHARLES",283234,0,0,0,0,2020-01-21
"167","210","LA- BATON ROUGE",947505,0,0,0,0,2020-01-21
"168","212","LA- HOUMA",271510,0,0,0,0,2020-01-21
"169","217","LA- MONROE",271497,0,0,0,0,2020-01-21
"170","259","MS- JACKSON",1075145,0,0,0,0,2020-01-21
"171","216","LA- METAIRIE",458580,0,0,0,0,2020-01-21
"172","218","LA- NEW ORLEANS",657841,0,0,0,0,2020-01-21
"173","220","LA- SLIDELL",192108,0,0,0,0,2020-01-21
"174","222","ME- PORTLAND",1070795,0,0,0,0,2020-01-21
"175","221","ME- BANGOR",400665,0,0,0,0,2020-01-21
"176","281","NH- LEBANON",396748,0,0,0,0,2020-01-21
"177","223","MD- BALTIMORE",2523788,0,0,0,0,2020-01-21
"178","363","PA- YORK",440053,0,0,0,0,2020-01-21
"179","352","PA- HARRISBURG",1027704,0,0,0,0,2020-01-21
"180","445","WV- MORGANTOWN",404313,0,0,0,0,2020-01-21
"181","227","MA- BOSTON",4826221,0,0,0,0,2020-01-21
"182","295","NY- ALBANY",1842850,0,0,0,0,2020-01-21
"183","231","MA- WORCESTER",808287,0,0,0,0,2020-01-21
"184","246","MI- SAGINAW",627549,0,0,0,0,2020-01-21
"185","240","MI- MARQUETTE",200023,0,0,0,0,2020-01-21
"186","236","MI- GRAND RAPIDS",1187416,0,0,0,0,2020-01-21
"187","248","MI- ST JOSEPH",142156,0,0,0,0,2020-01-21
"188","243","MI- PETOSKEY",175199,0,0,0,0,2020-01-21
"189","249","MI- TRAVERSE CITY",233228,0,0,0,0,2020-01-21
"190","239","MI- LANSING",710382,0,0,0,0,2020-01-21
"191","447","WI- GREEN BAY",510635,0,0,0,0,2020-01-21
"192","235","MI- FLINT",568542,0,0,0,0,2020-01-21
"193","250","MN- DULUTH",341216,0,0,0,0,2020-01-21
"194","456","WI- WAUSAU",189284,0,0,0,0,2020-01-21
"195","232","MI- ANN ARBOR",1401260,0,0,0,0,2020-01-21
"196","242","MI- MUSKEGON",270058,0,0,0,0,2020-01-21
"197","244","MI- PONTIAC",470635,0,0,0,0,2020-01-21
"198","334","OH- TOLEDO",1000493,0,0,0,0,2020-01-21
"199","234","MI- DETROIT",1738617,0,0,0,0,2020-01-21
"200","245","MI- ROYAL OAK",679720,0,0,0,0,2020-01-21
"201","233","MI- DEARBORN",517284,0,0,0,0,2020-01-21
"202","256","MN- ST PAUL",1080676,0,0,0,0,2020-01-21
"203","322","ND- FARGO MOORHEAD -MN",533993,0,0,0,0,2020-01-21
"204","323","ND- GRAND FORKS",164613,0,0,0,0,2020-01-21
"205","254","MN- ST CLOUD",260897,0,0,0,0,2020-01-21
"206","261","MS- OXFORD",149639,0,0,0,0,2020-01-21
"207","258","MS- HATTIESBURG",306018,0,0,0,0,2020-01-21
"208","257","MS- GULFPORT",201377,0,0,0,0,2020-01-21
"209","274","MT- BILLINGS",585373,0,0,0,0,2020-01-21
"210","275","MT- GREAT FALLS",152681,0,0,0,0,2020-01-21
"211","370","SD- RAPID CITY",217734,0,0,0,0,2020-01-21
"212","324","ND- MINOT",125908,0,0,0,0,2020-01-21
"213","282","NH- MANCHESTER",894248,0,0,0,0,2020-01-21
"214","283","NJ- CAMDEN",2827593,0,0,0,0,2020-01-21
"215","284","NJ- HACKENSACK",1278413,0,0,0,0,2020-01-21
"216","291","NJ- PATERSON",393185,0,0,0,0,2020-01-21
"217","292","NJ- RIDGEWOOD",463288,0,0,0,0,2020-01-21
"218","285","NJ- MORRISTOWN",1028075,0,0,0,0,2020-01-21
"219","288","NJ- NEW BRUNSWICK",1044234,0,0,0,0,2020-01-21
"220","346","PA- ALLENTOWN",1233349,0,0,0,0,2020-01-21
"221","400","TX- LUBBOCK",707296,0,0,0,0,2020-01-21
"222","393","TX- EL PASO",1113258,0,0,0,0,2020-01-21
"223","299","NY- BUFFALO",1378870,0,0,0,0,2020-01-21
"224","304","NY- ROCHESTER",1303270,0,0,0,0,2020-01-21
"225","296","NY- BINGHAMTON",364639,0,0,0,0,2020-01-21
"226","307","NY- SYRACUSE",1069422,0,0,0,0,2020-01-21
"227","351","PA- ERIE",722463,0,0,0,0,2020-01-21
"228","300","NY- ELMIRA",331145,0,0,0,0,2020-01-21
"229","359","PA- SAYRE",197463,0,0,0,0,2020-01-21
"230","424","VT- BURLINGTON",646114,0,0,0,0,2020-01-21
"231","360","PA- SCRANTON",317755,0,0,0,0,2020-01-21
"232","312","NC- DURHAM",1366694,0,0,0,0,2020-01-21
"233","313","NC- GREENSBORO",627219,0,0,0,0,2020-01-21
"234","315","NC- HICKORY",298883,0,0,0,0,2020-01-21
"235","320","NC- WINSTON-SALEM",1137103,0,0,0,0,2020-01-21
"236","311","NC- CHARLOTTE",2459473,0,0,0,0,2020-01-21
"237","375","TN- JOHNSON CITY",277165,0,0,0,0,2020-01-21
"238","309","NC- ASHEVILLE",660204,0,0,0,0,2020-01-21
"239","314","NC- GREENVILLE",856416,0,0,0,0,2020-01-21
"240","318","NC- RALEIGH",2032974,0,0,0,0,2020-01-21
"241","319","NC- WILMINGTON",449671,0,0,0,0,2020-01-21
"242","365","SC- CHARLESTON",1039763,0,0,0,0,2020-01-21
"243","430","VA- NORFOLK",1289789,0,0,0,0,2020-01-21
"244","367","SC- FLORENCE",379572,0,0,0,0,2020-01-21
"245","369","SC- SPARTANBURG",374810,0,0,0,0,2020-01-21
"246","321","ND- BISMARCK",211242,0,0,0,0,2020-01-21
"247","330","OH- DAYTON",1077638,0,0,0,0,2020-01-21
"248","326","OH- CANTON",640670,0,0,0,0,2020-01-21
"249","328","OH- CLEVELAND",2068625,0,0,0,0,2020-01-21
"250","335","OH- YOUNGSTOWN",642648,0,0,0,0,2020-01-21
"251","357","PA- PITTSBURGH",2904771,0,0,0,0,2020-01-21
"252","332","OH- KETTERING",432928,0,0,0,0,2020-01-21
"253","331","OH- ELYRIA",253587,0,0,0,0,2020-01-21
"254","325","OH- AKRON",703381,0,0,0,0,2020-01-21
"255","339","OK- OKLAHOMA CITY",1878346,0,0,0,0,2020-01-21
"256","391","TX- DALLAS",4819192,0,0,0,0,2020-01-21
"257","336","OK- LAWTON",203937,0,0,0,0,2020-01-21
"258","420","TX- WICHITA FALLS",202790,0,0,0,0,2020-01-21
"259","342","OR- EUGENE",731523,0,0,0,0,2020-01-21
"260","345","OR- SALEM",319400,0,0,0,0,2020-01-21
"261","344","OR- PORTLAND",2688073,0,0,0,0,2020-01-21
"262","341","OR- BEND",221484,0,0,0,0,2020-01-21
"263","347","PA- ALTOONA",302529,0,0,0,0,2020-01-21
"264","355","PA- LANCASTER",678147,0,0,0,0,2020-01-21
"265","358","PA- READING",596839,0,0,0,0,2020-01-21
"266","354","PA- JOHNSTOWN",220260,0,0,0,0,2020-01-21
"267","362","PA- WILKES-BARRE",249132,0,0,0,0,2020-01-21
"268","350","PA- DANVILLE",579193,0,0,0,0,2020-01-21
"269","366","SC- COLUMBIA",1241913,0,0,0,0,2020-01-21
"270","368","SC- GREENVILLE",907674,0,0,0,0,2020-01-21
"271","374","TN- JACKSON",333926,0,0,0,0,2020-01-21
"272","416","TX- TYLER",561485,0,0,0,0,2020-01-21
"273","397","TX- HOUSTON",6463120,0,0,0,0,2020-01-21
"274","390","TX- CORPUS CHRISTI",564150,0,0,0,0,2020-01-21
"275","412","TX- SAN ANTONIO",2714969,0,0,0,0,2020-01-21
"276","385","TX- AUSTIN",1738310,0,0,0,0,2020-01-21
"277","413","TX- TEMPLE",499914,0,0,0,0,2020-01-21
"278","394","TX- FORT WORTH",2198658,0,0,0,0,2020-01-21
"279","418","TX- WACO",341324,0,0,0,0,2020-01-21
"280","388","TX- BRYAN",272470,0,0,0,0,2020-01-21
"281","406","TX- ODESSA",351062,0,0,0,0,2020-01-21
"282","382","TX- ABILENE",295982,0,0,0,0,2020-01-21
"283","417","TX- VICTORIA",148174,0,0,0,0,2020-01-21
"284","396","TX- HARLINGEN",591312,0,0,0,0,2020-01-21
"285","399","TX- LONGVIEW",215161,0,0,0,0,2020-01-21
"286","386","TX- BEAUMONT",464919,0,0,0,0,2020-01-21
"287","411","TX- SAN ANGELO",159476,0,0,0,0,2020-01-21
"288","402","TX- MCALLEN",672773,0,0,0,0,2020-01-21
