"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date","hrrcases","hrrdeaths","casegrowthrate","deathgrowthrate"
"83","123","FL- JACKSONVILLE",1629968,0,0,0,0,2020-01-21,0,0,1.13084957363235,1.08660972401811
"84","133","FL- PANAMA CITY",217003,0,0,0,0,2020-01-21,0,0,1.14302908520389,Inf
"85","130","FL- ORLANDO",3621833,0,0,0,0,2020-01-21,0,0,1.08203464952026,1.17120249779499
"86","118","FL- FORT LAUDERDALE",2760263,0,0,0,0,2020-01-21,0,0,1.10158860830368,1.24164424141058
"87","127","FL- MIAMI",3202229,0,0,0,0,2020-01-21,0,0,1.1199216680893,1.33270382907597
"88","140","FL- TALLAHASSEE",835219,0,0,0,0,2020-01-21,0,0,1.18011403511836,1.38832533801273
"89","119","FL- FORT MYERS",1182870,0,0,0,0,2020-01-21,0,0,1.1173227569593,1.08923758507462
"90","137","FL- SARASOTA",407131,0,0,0,0,2020-01-21,0,0,1.11361524352982,1.11814541184518
"91","129","FL- OCALA",529160,0,0,0,0,2020-01-21,0,0,1.14075037564589,1.36145436862795
"92","131","FL- ORMOND BEACH",383378,0,0,0,0,2020-01-21,0,0,1.07632842030168,1.26267890812968
"93","124","FL- LAKELAND",386176,0,0,0,0,2020-01-21,0,0,1.11162372282319,1.23213152901359
"94","122","FL- HUDSON",408247,0,0,0,0,2020-01-21,0,0,1.11061312381058,1.2660199919869
"95","141","FL- TAMPA",1385149,0,0,0,0,2020-01-21,0,0,1.07021945994248,1.16737204390923
"96","115","FL- BRADENTON",296705,0,0,0,0,2020-01-21,0,0,1.13186813186813,1.47619047619048
"97","116","FL- CLEARWATER",506206,0,0,0,0,2020-01-21,0,0,1.0507637017071,1.10204081632653
"98","139","FL- ST PETERSBURG",410319,0,0,0,0,2020-01-21,0,0,1.0507637017071,1.10204081632653
"99","149","GA- SAVANNAH",856153,0,0,0,0,2020-01-21,0,0,1.11259859652035,1.14285714285714
"100","142","GA- ALBANY",219645,0,0,0,0,2020-01-21,0,0,1.14393984122445,1.21960255516782
"101","147","GA- MACON",734927,0,0,0,0,2020-01-21,0,0,1.20607000178738,1.15828678872184
"102","145","GA- AUGUSTA",673766,0,0,0,0,2020-01-21,0,0,1.22711672880658,1.33243318585305
"103","150","HI- HONOLULU",1360301,0,0,0,0,2020-01-21,0,0,1.07142857142857,1.42857142857143
"104","151","ID- BOISE",883940,0,0,0,0,2020-01-21,0,0,1.05304864624565,1.24544183686011
"105","440","WA- SPOKANE",1515334,0,0,0,0,2020-01-21,0,0,1.08064955281958,1.1375008246277
"106","152","ID- IDAHO FALLS",238602,0,0,0,0,2020-01-21,0,0,1.10044490522408,NA
"107","276","MT- MISSOULA",382740,0,0,0,0,2020-01-21,0,0,1.06204551318975,1.09803630301582
"108","172","IL- SPRINGFIELD",830634,0,0,0,0,2020-01-21,0,0,1.24532637422585,1.11428571428571
"109","263","MO- CAPE GIRARDEAU",264707,0,0,0,0,2020-01-21,0,0,1.11853464650265,Inf
"110","171","IL- ROCKFORD",735905,0,0,0,0,2020-01-21,0,0,1.24971677654098,1.40831405014279
"111","449","WI- MADISON",1093305,0,0,0,0,2020-01-21,0,0,1.05639212904691,1.21589943050469
"112","170","IL- PEORIA",615743,0,0,0,0,2020-01-21,0,0,1.18660260057197,1.56729221096102
"113","191","IA- DAVENPORT",492280,0,0,0,0,2020-01-21,0,0,1.30516053534907,2.05891073784294
"114","173","IL- URBANA",450688,0,0,0,0,2020-01-21,0,0,1.10749957320188,1.51863428150983
"115","188","IN- TERRE HAUTE",183701,0,0,0,0,2020-01-21,0,0,1.37108186278131,1.01317271116577
"116","155","IL- BLUE ISLAND",852099,0,0,0,0,2020-01-21,0,0,1.13403467038614,1.26931009138019
"117","156","IL- CHICAGO",2586419,0,0,0,0,2020-01-21,0,0,1.13239610690561,1.26038500506586
"118","158","IL- ELGIN",801491,0,0,0,0,2020-01-21,0,0,1.13762308213416,1.20912130402449
"119","161","IL- EVANSTON",912358,0,0,0,0,2020-01-21,0,0,1.13378280035436,1.25441720965537
"120","163","IL- HINSDALE",475308,0,0,0,0,2020-01-21,0,0,1.16143816257612,1.32671885156035
"121","164","IL- JOLIET",714644,0,0,0,0,2020-01-21,0,0,1.19255844909932,1.49409247828597
"122","166","IL- MELROSE PARK",1336480,0,0,0,0,2020-01-21,0,0,1.13525891748457,1.24813690569879
"123","186","IN- MUNSTER",313527,0,0,0,0,2020-01-21,0,0,1.16633203166294,1.30102660654248
"124","179","IN- EVANSVILLE",682402,0,0,0,0,2020-01-21,0,0,1.20923780424829,49.7532233109851
"125","154","IL- AURORA",343756,0,0,0,0,2020-01-21,0,0,1.15784009382292,1.14537418792552
"126","175","IL- BLOOMINGTON",205021,0,0,0,0,2020-01-21,0,0,1.16601253936656,1
"127","194","IA- IOWA CITY",345868,0,0,0,0,2020-01-21,0,0,1.19685725784024,1.13480279263606
"128","193","IA- DUBUQUE",157341,0,0,0,0,2020-01-21,0,0,1.08301073080567,1.07664817997188
"129","208","KY- PADUCAH",370644,0,0,0,0,2020-01-21,0,0,1.4000559081072,1.68070955026487
"130","451","WI- MILWAUKEE",2711686,0,0,0,0,2020-01-21,0,0,1.10474819194907,1.23144050230502
"131","264","MO- COLUMBIA",707702,0,0,0,0,2020-01-21,0,0,1.04488881166737,1.04846083276156
"132","180","IN- FORT WAYNE",866605,0,0,0,0,2020-01-21,0,0,1.17474984917108,1.55458347881088
"133","183","IN- INDIANAPOLIS",2852404,0,0,0,0,2020-01-21,0,0,1.13625340534772,1.30463713384245
"134","184","IN- LAFAYETTE",242737,0,0,0,0,2020-01-21,0,0,1.08484034605158,1.02823462812485
"135","185","IN- MUNCIE",168738,0,0,0,0,2020-01-21,0,0,1.13489613470062,1.0307990817485
"136","205","KY- LOUISVILLE",1761589,0,0,0,0,2020-01-21,0,0,1.16040923514674,1.35758984847978
"137","327","OH- CINCINNATI",1674091,0,0,0,0,2020-01-21,0,0,1.16403266985685,1.21300586906635
"138","187","IN- SOUTH BEND",696079,0,0,0,0,2020-01-21,0,0,1.16966227176378,1.07681558088559
"139","181","IN- GARY",529009,0,0,0,0,2020-01-21,0,0,1.17854611487212,1.29569235976937
"140","207","KY- OWENSBORO",145260,0,0,0,0,2020-01-21,0,0,1.1520958870256,1.06159599502376
"141","238","MI- KALAMAZOO",669114,0,0,0,0,2020-01-21,0,0,1.1735923418312,1.3429038124175
"142","192","IA- DES MOINES",1091747,0,0,0,0,2020-01-21,0,0,1.08437545169935,1.45743424416021
"143","278","NE- OMAHA",1302233,0,0,0,0,2020-01-21,0,0,1.13721858000457,1.36193372537191
"144","448","WI- LA CROSSE",356614,0,0,0,0,2020-01-21,0,0,1.08282026299514,1.30037053458094
"145","190","IA- CEDAR RAPIDS",301530,0,0,0,0,2020-01-21,0,0,1.13092720067191,1.32351297244534
"146","197","IA- WATERLOO",213653,0,0,0,0,2020-01-21,0,0,1.32237366839781,Inf
"147","196","IA- SIOUX CITY",263271,0,0,0,0,2020-01-21,0,0,1.09748320242643,NA
"148","371","SD- SIOUX FALLS",773673,0,0,0,0,2020-01-21,0,0,1.27571994336932,1.28349405802285
"149","195","IA- MASON CITY",132160,0,0,0,0,2020-01-21,0,0,1.05896756608875,NA
"150","253","MN- ROCHESTER",416752,0,0,0,0,2020-01-21,0,0,1.09718311166783,1.06009284398574
"151","251","MN- MINNEAPOLIS",3233450,0,0,0,0,2020-01-21,0,0,1.08952308978742,1.2601842667101
"152","200","KS- TOPEKA",457565,0,0,0,0,2020-01-21,0,0,1.14757174031247,1.04761904761905
"153","340","OK- TULSA",1369583,0,0,0,0,2020-01-21,0,0,1.1175511239306,1.22497147282951
"154","277","NE- LINCOLN",580765,0,0,0,0,2020-01-21,0,0,1.37652775184661,1.1342974719465
"155","383","TX- AMARILLO",444214,0,0,0,0,2020-01-21,0,0,1.33043924537445,1.57268667824361
"156","380","TN- NASHVILLE",2782462,0,0,0,0,2020-01-21,0,0,1.08144440343933,1.2214241506367
"157","204","KY- LEXINGTON",1514499,0,0,0,0,2020-01-21,0,0,1.08655356797143,1.00081138274106
"158","377","TN- KNOXVILLE",1379484,0,0,0,0,2020-01-21,0,0,1.09072533225997,1.476703556027
"159","203","KY- COVINGTON",416762,0,0,0,0,2020-01-21,0,0,1.42799238724806,1.32143182980005
"160","444","WV- HUNTINGTON",356456,0,0,0,0,2020-01-21,0,0,1.47787797293814,1.14118482931285
"161","329","OH- COLUMBUS",3018306,0,0,0,0,2020-01-21,0,0,1.12529757004191,1.17298350998658
"162","376","TN- KINGSPORT",479601,0,0,0,0,2020-01-21,0,0,1.2687197298178,1
"163","443","WV- CHARLESTON",839828,0,0,0,0,2020-01-21,0,0,1.1551794600278,1.02927472106767
"164","213","LA- LAFAYETTE",614128,0,0,0,0,2020-01-21,0,0,1.06253008624002,1.28090742311594
"165","209","LA- ALEXANDRIA",287731,0,0,0,0,2020-01-21,0,0,1.13264539865831,1.02184302381187
"166","214","LA- LAKE CHARLES",283234,0,0,0,0,2020-01-21,0,0,1.13543774770883,1.42752056276313
"167","210","LA- BATON ROUGE",947505,0,0,0,0,2020-01-21,0,0,1.23930831150251,1.25900253320255
"168","212","LA- HOUMA",271510,0,0,0,0,2020-01-21,0,0,1.18408866252276,1.51007807361449
"169","217","LA- MONROE",271497,0,0,0,0,2020-01-21,0,0,1.29993408599554,2.30204993565817
"170","259","MS- JACKSON",1075145,0,0,0,0,2020-01-21,0,0,1.12867446630582,1.30129289289532
